Hostname,Total,wave_1
COMP00019.TESTLAB.LOCAL,0,0
COMP00015.TESTLAB.LOCAL,0,0
COMP00014.TESTLAB.LOCAL,0,0
COMP00016.TESTLAB.LOCAL,0,0
COMP00018.TESTLAB.LOCAL,0,0
COMP00021.TESTLAB.LOCAL,0,0
COMP00020.TESTLAB.LOCAL,0,0
COMP00022.TESTLAB.LOCAL,0,0
COMP00023.TESTLAB.LOCAL,0,0
COMP00025.TESTLAB.LOCAL,0,0
COMP00027.TESTLAB.LOCAL,0,0
COMP00031.TESTLAB.LOCAL,0,0
COMP00030.TESTLAB.LOCAL,0,0
COMP00029.TESTLAB.LOCAL,0,0
COMP00028.TESTLAB.LOCAL,0,0
COMP00045.TESTLAB.LOCAL,0,0
COMP00047.TESTLAB.LOCAL,0,0
COMP00055.TESTLAB.LOCAL,0,0
COMP00052.TESTLAB.LOCAL,0,0
COMP00056.TESTLAB.LOCAL,0,0
COMP00048.TESTLAB.LOCAL,0,0
COMP00054.TESTLAB.LOCAL,0,0
COMP00038.TESTLAB.LOCAL,0,0
COMP00024.TESTLAB.LOCAL,0,0
COMP00059.TESTLAB.LOCAL,0,0
COMP00032.TESTLAB.LOCAL,0,0
COMP00035.TESTLAB.LOCAL,0,0
COMP00039.TESTLAB.LOCAL,0,0
COMP00063.TESTLAB.LOCAL,0,0
COMP00064.TESTLAB.LOCAL,0,0
COMP00053.TESTLAB.LOCAL,0,0
COMP00068.TESTLAB.LOCAL,0,0
COMP00057.TESTLAB.LOCAL,0,0
COMP00069.TESTLAB.LOCAL,0,0
COMP00046.TESTLAB.LOCAL,0,0
COMP00026.TESTLAB.LOCAL,0,0
COMP00041.TESTLAB.LOCAL,0,0
COMP00051.TESTLAB.LOCAL,0,0
COMP00074.TESTLAB.LOCAL,0,0
COMP00036.TESTLAB.LOCAL,0,0
COMP00033.TESTLAB.LOCAL,0,0
COMP00078.TESTLAB.LOCAL,0,0
COMP00077.TESTLAB.LOCAL,0,0
COMP00080.TESTLAB.LOCAL,0,0
COMP00037.TESTLAB.LOCAL,0,0
COMP00060.TESTLAB.LOCAL,0,0
COMP00065.TESTLAB.LOCAL,0,0
COMP00044.TESTLAB.LOCAL,0,0
COMP00049.TESTLAB.LOCAL,0,0
COMP00083.TESTLAB.LOCAL,0,0
COMP00058.TESTLAB.LOCAL,0,0
COMP00062.TESTLAB.LOCAL,0,0
COMP00089.TESTLAB.LOCAL,0,0
COMP00073.TESTLAB.LOCAL,0,0
COMP00071.TESTLAB.LOCAL,0,0
COMP00092.TESTLAB.LOCAL,0,0
COMP00087.TESTLAB.LOCAL,0,0
COMP00066.TESTLAB.LOCAL,0,0
COMP00076.TESTLAB.LOCAL,0,0
COMP00070.TESTLAB.LOCAL,0,0
COMP00093.TESTLAB.LOCAL,0,0
COMP00085.TESTLAB.LOCAL,0,0
COMP00043.TESTLAB.LOCAL,0,0
COMP00097.TESTLAB.LOCAL,0,0
COMP00042.TESTLAB.LOCAL,0,0
COMP00100.TESTLAB.LOCAL,0,0
COMP00094.TESTLAB.LOCAL,0,0
COMP00090.TESTLAB.LOCAL,0,0
COMP00107.TESTLAB.LOCAL,0,0
COMP00103.TESTLAB.LOCAL,0,0
COMP00109.TESTLAB.LOCAL,0,0
COMP00098.TESTLAB.LOCAL,0,0
COMP00116.TESTLAB.LOCAL,0,0
COMP00114.TESTLAB.LOCAL,0,0
COMP00075.TESTLAB.LOCAL,0,0
COMP00095.TESTLAB.LOCAL,0,0
COMP00072.TESTLAB.LOCAL,0,0
COMP00067.TESTLAB.LOCAL,0,0
COMP00081.TESTLAB.LOCAL,0,0
COMP00112.TESTLAB.LOCAL,0,0
COMP00121.TESTLAB.LOCAL,0,0
COMP00124.TESTLAB.LOCAL,0,0
COMP00101.TESTLAB.LOCAL,0,0
COMP00091.TESTLAB.LOCAL,0,0
COMP00123.TESTLAB.LOCAL,0,0
COMP00127.TESTLAB.LOCAL,0,0
COMP00099.TESTLAB.LOCAL,0,0
COMP00131.TESTLAB.LOCAL,0,0
COMP00128.TESTLAB.LOCAL,0,0
COMP00102.TESTLAB.LOCAL,0,0
COMP00105.TESTLAB.LOCAL,0,0
COMP00110.TESTLAB.LOCAL,0,0
COMP00141.TESTLAB.LOCAL,0,0
COMP00125.TESTLAB.LOCAL,0,0
COMP00096.TESTLAB.LOCAL,0,0
COMP00137.TESTLAB.LOCAL,0,0
COMP00118.TESTLAB.LOCAL,0,0
COMP00111.TESTLAB.LOCAL,0,0
COMP00122.TESTLAB.LOCAL,0,0
COMP00126.TESTLAB.LOCAL,0,0
COMP00115.TESTLAB.LOCAL,0,0
COMP00149.TESTLAB.LOCAL,0,0
COMP00119.TESTLAB.LOCAL,0,0
COMP00120.TESTLAB.LOCAL,0,0
COMP00134.TESTLAB.LOCAL,0,0
COMP00154.TESTLAB.LOCAL,0,0
COMP00155.TESTLAB.LOCAL,0,0
COMP00130.TESTLAB.LOCAL,0,0
COMP00133.TESTLAB.LOCAL,0,0
COMP00132.TESTLAB.LOCAL,0,0
COMP00159.TESTLAB.LOCAL,0,0
COMP00160.TESTLAB.LOCAL,0,0
COMP00139.TESTLAB.LOCAL,0,0
COMP00158.TESTLAB.LOCAL,0,0
COMP00136.TESTLAB.LOCAL,0,0
COMP00135.TESTLAB.LOCAL,0,0
COMP00152.TESTLAB.LOCAL,0,0
COMP00143.TESTLAB.LOCAL,0,0
COMP00145.TESTLAB.LOCAL,0,0
COMP00147.TESTLAB.LOCAL,0,0
COMP00144.TESTLAB.LOCAL,0,0
COMP00172.TESTLAB.LOCAL,0,0
COMP00150.TESTLAB.LOCAL,0,0
COMP00151.TESTLAB.LOCAL,0,0
COMP00169.TESTLAB.LOCAL,0,0
COMP00148.TESTLAB.LOCAL,0,0
COMP00156.TESTLAB.LOCAL,0,0
COMP00177.TESTLAB.LOCAL,0,0
COMP00153.TESTLAB.LOCAL,0,0
COMP00171.TESTLAB.LOCAL,0,0
COMP00179.TESTLAB.LOCAL,0,0
COMP00162.TESTLAB.LOCAL,0,0
COMP00140.TESTLAB.LOCAL,0,0
COMP00186.TESTLAB.LOCAL,0,0
COMP00184.TESTLAB.LOCAL,0,0
COMP00189.TESTLAB.LOCAL,0,0
COMP00191.TESTLAB.LOCAL,0,0
COMP00170.TESTLAB.LOCAL,0,0
COMP00190.TESTLAB.LOCAL,0,0
COMP00167.TESTLAB.LOCAL,0,0
COMP00180.TESTLAB.LOCAL,0,0
COMP00174.TESTLAB.LOCAL,0,0
COMP00175.TESTLAB.LOCAL,0,0
COMP00198.TESTLAB.LOCAL,0,0
COMP00165.TESTLAB.LOCAL,0,0
COMP00176.TESTLAB.LOCAL,0,0
COMP00203.TESTLAB.LOCAL,0,0
COMP00168.TESTLAB.LOCAL,0,0
COMP00181.TESTLAB.LOCAL,0,0
COMP00206.TESTLAB.LOCAL,0,0
COMP00193.TESTLAB.LOCAL,0,0
COMP00185.TESTLAB.LOCAL,0,0
COMP00182.TESTLAB.LOCAL,0,0
COMP00188.TESTLAB.LOCAL,0,0
COMP00201.TESTLAB.LOCAL,0,0
COMP00195.TESTLAB.LOCAL,0,0
COMP00208.TESTLAB.LOCAL,0,0
COMP00215.TESTLAB.LOCAL,0,0
COMP00211.TESTLAB.LOCAL,0,0
COMP00212.TESTLAB.LOCAL,0,0
COMP00187.TESTLAB.LOCAL,0,0
COMP00178.TESTLAB.LOCAL,0,0
COMP00197.TESTLAB.LOCAL,0,0
COMP00192.TESTLAB.LOCAL,0,0
COMP00183.TESTLAB.LOCAL,0,0
COMP00221.TESTLAB.LOCAL,0,0
COMP00194.TESTLAB.LOCAL,0,0
COMP00224.TESTLAB.LOCAL,0,0
COMP00225.TESTLAB.LOCAL,0,0
COMP00207.TESTLAB.LOCAL,0,0
COMP00202.TESTLAB.LOCAL,0,0
COMP00209.TESTLAB.LOCAL,0,0
COMP00228.TESTLAB.LOCAL,0,0
COMP00232.TESTLAB.LOCAL,0,0
COMP00234.TESTLAB.LOCAL,0,0
COMP00200.TESTLAB.LOCAL,0,0
COMP00233.TESTLAB.LOCAL,0,0
COMP00205.TESTLAB.LOCAL,0,0
COMP00210.TESTLAB.LOCAL,0,0
COMP00223.TESTLAB.LOCAL,0,0
COMP00213.TESTLAB.LOCAL,0,0
COMP00216.TESTLAB.LOCAL,0,0
COMP00220.TESTLAB.LOCAL,0,0
COMP00229.TESTLAB.LOCAL,0,0
COMP00222.TESTLAB.LOCAL,0,0
COMP00218.TESTLAB.LOCAL,0,0
COMP00217.TESTLAB.LOCAL,0,0
COMP00219.TESTLAB.LOCAL,0,0
COMP00226.TESTLAB.LOCAL,0,0
COMP00249.TESTLAB.LOCAL,0,0
COMP00237.TESTLAB.LOCAL,0,0
COMP00238.TESTLAB.LOCAL,0,0
COMP00235.TESTLAB.LOCAL,0,0
COMP00243.TESTLAB.LOCAL,0,0
COMP00214.TESTLAB.LOCAL,0,0
COMP00240.TESTLAB.LOCAL,0,0
COMP00258.TESTLAB.LOCAL,0,0
COMP00236.TESTLAB.LOCAL,0,0
COMP00242.TESTLAB.LOCAL,0,0
COMP00259.TESTLAB.LOCAL,0,0
COMP00239.TESTLAB.LOCAL,0,0
COMP00263.TESTLAB.LOCAL,0,0
COMP00244.TESTLAB.LOCAL,0,0
COMP00264.TESTLAB.LOCAL,0,0
COMP00246.TESTLAB.LOCAL,0,0
COMP00227.TESTLAB.LOCAL,0,0
COMP00266.TESTLAB.LOCAL,0,0
COMP00265.TESTLAB.LOCAL,0,0
COMP00251.TESTLAB.LOCAL,0,0
COMP00270.TESTLAB.LOCAL,0,0
COMP00253.TESTLAB.LOCAL,0,0
COMP00254.TESTLAB.LOCAL,0,0
COMP00274.TESTLAB.LOCAL,0,0
COMP00248.TESTLAB.LOCAL,0,0
COMP00231.TESTLAB.LOCAL,0,0
COMP00241.TESTLAB.LOCAL,0,0
COMP00281.TESTLAB.LOCAL,0,0
COMP00283.TESTLAB.LOCAL,0,0
COMP00284.TESTLAB.LOCAL,0,0
COMP00256.TESTLAB.LOCAL,0,0
COMP00250.TESTLAB.LOCAL,0,0
COMP00260.TESTLAB.LOCAL,0,0
COMP00257.TESTLAB.LOCAL,0,0
COMP00291.TESTLAB.LOCAL,0,0
COMP00269.TESTLAB.LOCAL,0,0
COMP00268.TESTLAB.LOCAL,0,0
COMP00275.TESTLAB.LOCAL,0,0
COMP00296.TESTLAB.LOCAL,0,0
COMP00297.TESTLAB.LOCAL,0,0
COMP00271.TESTLAB.LOCAL,0,0
COMP00299.TESTLAB.LOCAL,0,0
COMP00280.TESTLAB.LOCAL,0,0
COMP00277.TESTLAB.LOCAL,0,0
COMP00276.TESTLAB.LOCAL,0,0
COMP00279.TESTLAB.LOCAL,0,0
COMP00278.TESTLAB.LOCAL,0,0
COMP00303.TESTLAB.LOCAL,0,0
COMP00273.TESTLAB.LOCAL,0,0
COMP00285.TESTLAB.LOCAL,0,0
COMP00286.TESTLAB.LOCAL,0,0
COMP00293.TESTLAB.LOCAL,0,0
COMP00288.TESTLAB.LOCAL,0,0
COMP00292.TESTLAB.LOCAL,0,0
COMP00295.TESTLAB.LOCAL,0,0
COMP00267.TESTLAB.LOCAL,0,0
COMP00294.TESTLAB.LOCAL,0,0
COMP00315.TESTLAB.LOCAL,0,0
COMP00313.TESTLAB.LOCAL,0,0
COMP00311.TESTLAB.LOCAL,0,0
COMP00316.TESTLAB.LOCAL,0,0
COMP00318.TESTLAB.LOCAL,0,0
COMP00319.TESTLAB.LOCAL,0,0
COMP00282.TESTLAB.LOCAL,0,0
COMP00323.TESTLAB.LOCAL,0,0
COMP00324.TESTLAB.LOCAL,0,0
COMP00300.TESTLAB.LOCAL,0,0
COMP00298.TESTLAB.LOCAL,0,0
COMP00327.TESTLAB.LOCAL,0,0
COMP00307.TESTLAB.LOCAL,0,0
COMP00308.TESTLAB.LOCAL,0,0
COMP00302.TESTLAB.LOCAL,0,0
COMP00289.TESTLAB.LOCAL,0,0
COMP00310.TESTLAB.LOCAL,0,0
COMP00304.TESTLAB.LOCAL,0,0
COMP00309.TESTLAB.LOCAL,0,0
COMP00306.TESTLAB.LOCAL,0,0
COMP00333.TESTLAB.LOCAL,0,0
COMP00336.TESTLAB.LOCAL,0,0
COMP00314.TESTLAB.LOCAL,0,0
COMP00287.TESTLAB.LOCAL,0,0
COMP00320.TESTLAB.LOCAL,0,0
COMP00312.TESTLAB.LOCAL,0,0
COMP00339.TESTLAB.LOCAL,0,0
COMP00345.TESTLAB.LOCAL,0,0
COMP00301.TESTLAB.LOCAL,0,0
COMP00325.TESTLAB.LOCAL,0,0
COMP00322.TESTLAB.LOCAL,0,0
COMP00348.TESTLAB.LOCAL,0,0
COMP00331.TESTLAB.LOCAL,0,0
COMP00326.TESTLAB.LOCAL,0,0
COMP00328.TESTLAB.LOCAL,0,0
COMP00349.TESTLAB.LOCAL,0,0
COMP00351.TESTLAB.LOCAL,0,0
COMP00335.TESTLAB.LOCAL,0,0
COMP00332.TESTLAB.LOCAL,0,0
COMP00362.TESTLAB.LOCAL,0,0
COMP00363.TESTLAB.LOCAL,0,0
COMP00329.TESTLAB.LOCAL,0,0
COMP00364.TESTLAB.LOCAL,0,0
COMP00367.TESTLAB.LOCAL,0,0
COMP00343.TESTLAB.LOCAL,0,0
COMP00337.TESTLAB.LOCAL,0,0
COMP00344.TESTLAB.LOCAL,0,0
COMP00368.TESTLAB.LOCAL,0,0
COMP00340.TESTLAB.LOCAL,0,0
COMP00338.TESTLAB.LOCAL,0,0
COMP00347.TESTLAB.LOCAL,0,0
COMP00369.TESTLAB.LOCAL,0,0
COMP00352.TESTLAB.LOCAL,0,0
COMP00353.TESTLAB.LOCAL,0,0
COMP00355.TESTLAB.LOCAL,0,0
COMP00358.TESTLAB.LOCAL,0,0
COMP00342.TESTLAB.LOCAL,0,0
COMP00379.TESTLAB.LOCAL,0,0
COMP00374.TESTLAB.LOCAL,0,0
COMP00371.TESTLAB.LOCAL,0,0
COMP00373.TESTLAB.LOCAL,0,0
COMP00382.TESTLAB.LOCAL,0,0
COMP00354.TESTLAB.LOCAL,0,0
COMP00376.TESTLAB.LOCAL,0,0
COMP00388.TESTLAB.LOCAL,0,0
COMP00359.TESTLAB.LOCAL,0,0
COMP00387.TESTLAB.LOCAL,0,0
COMP00356.TESTLAB.LOCAL,0,0
COMP00357.TESTLAB.LOCAL,0,0
COMP00391.TESTLAB.LOCAL,0,0
COMP00334.TESTLAB.LOCAL,0,0
COMP00360.TESTLAB.LOCAL,0,0
COMP00365.TESTLAB.LOCAL,0,0
COMP00361.TESTLAB.LOCAL,0,0
COMP00375.TESTLAB.LOCAL,0,0
COMP00400.TESTLAB.LOCAL,0,0
COMP00384.TESTLAB.LOCAL,0,0
COMP00401.TESTLAB.LOCAL,0,0
COMP00377.TESTLAB.LOCAL,0,0
COMP00406.TESTLAB.LOCAL,0,0
COMP00403.TESTLAB.LOCAL,0,0
COMP00385.TESTLAB.LOCAL,0,0
COMP00409.TESTLAB.LOCAL,0,0
COMP00408.TESTLAB.LOCAL,0,0
COMP00386.TESTLAB.LOCAL,0,0
COMP00380.TESTLAB.LOCAL,0,0
COMP00412.TESTLAB.LOCAL,0,0
COMP00396.TESTLAB.LOCAL,0,0
COMP00392.TESTLAB.LOCAL,0,0
COMP00411.TESTLAB.LOCAL,0,0
COMP00399.TESTLAB.LOCAL,0,0
COMP00395.TESTLAB.LOCAL,0,0
COMP00414.TESTLAB.LOCAL,0,0
COMP00381.TESTLAB.LOCAL,0,0
COMP00366.TESTLAB.LOCAL,0,0
COMP00404.TESTLAB.LOCAL,0,0
COMP00393.TESTLAB.LOCAL,0,0
COMP00389.TESTLAB.LOCAL,0,0
COMP00390.TESTLAB.LOCAL,0,0
COMP00421.TESTLAB.LOCAL,0,0
COMP00402.TESTLAB.LOCAL,0,0
COMP00397.TESTLAB.LOCAL,0,0
COMP00394.TESTLAB.LOCAL,0,0
COMP00410.TESTLAB.LOCAL,0,0
COMP00434.TESTLAB.LOCAL,0,0
COMP00413.TESTLAB.LOCAL,0,0
COMP00417.TESTLAB.LOCAL,0,0
COMP00425.TESTLAB.LOCAL,0,0
COMP00426.TESTLAB.LOCAL,0,0
COMP00378.TESTLAB.LOCAL,0,0
COMP00438.TESTLAB.LOCAL,0,0
COMP00405.TESTLAB.LOCAL,0,0
COMP00432.TESTLAB.LOCAL,0,0
COMP00442.TESTLAB.LOCAL,0,0
COMP00436.TESTLAB.LOCAL,0,0
COMP00443.TESTLAB.LOCAL,0,0
COMP00420.TESTLAB.LOCAL,0,0
COMP00441.TESTLAB.LOCAL,0,0
COMP00415.TESTLAB.LOCAL,0,0
COMP00448.TESTLAB.LOCAL,0,0
COMP00422.TESTLAB.LOCAL,0,0
COMP00419.TESTLAB.LOCAL,0,0
COMP00418.TESTLAB.LOCAL,0,0
COMP00424.TESTLAB.LOCAL,0,0
COMP00445.TESTLAB.LOCAL,0,0
COMP00428.TESTLAB.LOCAL,0,0
COMP00454.TESTLAB.LOCAL,0,0
COMP00455.TESTLAB.LOCAL,0,0
COMP00451.TESTLAB.LOCAL,0,0
COMP00437.TESTLAB.LOCAL,0,0
COMP00431.TESTLAB.LOCAL,0,0
COMP00453.TESTLAB.LOCAL,0,0
COMP00416.TESTLAB.LOCAL,0,0
COMP00427.TESTLAB.LOCAL,0,0
COMP00429.TESTLAB.LOCAL,0,0
COMP00430.TESTLAB.LOCAL,0,0
COMP00433.TESTLAB.LOCAL,0,0
COMP00466.TESTLAB.LOCAL,0,0
COMP00447.TESTLAB.LOCAL,0,0
COMP00435.TESTLAB.LOCAL,0,0
COMP00450.TESTLAB.LOCAL,0,0
COMP00472.TESTLAB.LOCAL,0,0
COMP00446.TESTLAB.LOCAL,0,0
COMP00444.TESTLAB.LOCAL,0,0
COMP00440.TESTLAB.LOCAL,0,0
COMP00456.TESTLAB.LOCAL,0,0
COMP00452.TESTLAB.LOCAL,0,0
COMP00474.TESTLAB.LOCAL,0,0
COMP00457.TESTLAB.LOCAL,0,0
COMP00449.TESTLAB.LOCAL,0,0
COMP00478.TESTLAB.LOCAL,0,0
COMP00483.TESTLAB.LOCAL,0,0
COMP00475.TESTLAB.LOCAL,0,0
COMP00463.TESTLAB.LOCAL,0,0
COMP00462.TESTLAB.LOCAL,0,0
COMP00467.TESTLAB.LOCAL,0,0
COMP00488.TESTLAB.LOCAL,0,0
COMP00479.TESTLAB.LOCAL,0,0
COMP00460.TESTLAB.LOCAL,0,0
COMP00471.TESTLAB.LOCAL,0,0
COMP00469.TESTLAB.LOCAL,0,0
COMP00476.TESTLAB.LOCAL,0,0
COMP00491.TESTLAB.LOCAL,0,0
COMP00473.TESTLAB.LOCAL,0,0
COMP00496.TESTLAB.LOCAL,0,0
COMP00464.TESTLAB.LOCAL,0,0
COMP00497.TESTLAB.LOCAL,0,0
COMP00492.TESTLAB.LOCAL,0,0
COMP00459.TESTLAB.LOCAL,0,0
COMP00458.TESTLAB.LOCAL,0,0
COMP00500.TESTLAB.LOCAL,0,0
COMP00465.TESTLAB.LOCAL,0,0
COMP00461.TESTLAB.LOCAL,0,0
COMP00482.TESTLAB.LOCAL,0,0
COMP00484.TESTLAB.LOCAL,0,0
COMP00481.TESTLAB.LOCAL,0,0
COMP00487.TESTLAB.LOCAL,0,0
COMP00495.TESTLAB.LOCAL,0,0
COMP00493.TESTLAB.LOCAL,0,0
FLLABDC@TESTLAB.LOCAL,0,0
COMP00494.TESTLAB.LOCAL,0,0
COMP00498.TESTLAB.LOCAL,0,0
COMP00499.TESTLAB.LOCAL,0,0
COMP00489.TESTLAB.LOCAL,0,0
TotalComps,59
MaxCompromised,500
AvgWavelen,1.0
MaxWavelen,1
